date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:36:21	33806/33806	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2013:36:33%20GMT	http://www.w3schools.com/bootstrap/bootstrap_affix.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_affix.html	(from http://www.w3schools.com/bootstrap/)
19:36:22	37689/37689	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2013:15:27%20GMT	http://www.w3schools.com/bootstrap/bootstrap_grid_system.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_grid_system.html	(from http://www.w3schools.com/bootstrap/)
19:36:22	31095/31095	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2013:16:37%20GMT	http://www.w3schools.com/bootstrap/bootstrap_grid_stacked_to_horizontal.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_grid_stacked_to_horizontal.html	(from http://www.w3schools.com/bootstrap/)
19:36:23	31414/31414	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2013:13:51%20GMT	http://www.w3schools.com/bootstrap/bootstrap_grid_small.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_grid_small.html	(from http://www.w3schools.com/bootstrap/)
19:36:23	31411/31411	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2012:44:58%20GMT	http://www.w3schools.com/bootstrap/bootstrap_grid_medium.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_grid_medium.html	(from http://www.w3schools.com/bootstrap/)
19:36:24	31676/31676	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2013:05:12%20GMT	http://www.w3schools.com/bootstrap/bootstrap_grid_large.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_grid_large.html	(from http://www.w3schools.com/bootstrap/)
19:36:25	36692/36692	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2013:29:43%20GMT	http://www.w3schools.com/bootstrap/bootstrap_grid_examples.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_grid_examples.html	(from http://www.w3schools.com/bootstrap/)
19:36:26	31479/31479	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2013:35:13%20GMT	http://www.w3schools.com/bootstrap/bootstrap_templates.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_templates.html	(from http://www.w3schools.com/bootstrap/)
19:36:26	52997/52997	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2014:03:51%20GMT	http://www.w3schools.com/bootstrap/bootstrap_theme_me.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_theme_me.html	(from http://www.w3schools.com/bootstrap/)
19:36:28	94362/94362	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2013:47:20%20GMT	http://www.w3schools.com/bootstrap/bootstrap_theme_company.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_theme_company.html	(from http://www.w3schools.com/bootstrap/)
19:36:28	91968/91968	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2012:33:19%20GMT	http://www.w3schools.com/bootstrap/bootstrap_theme_band.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_theme_band.html	(from http://www.w3schools.com/bootstrap/)
19:36:29	30036/30036	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2014:02:37%20GMT	http://www.w3schools.com/bootstrap/bootstrap_quiz.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_quiz.html	(from http://www.w3schools.com/bootstrap/)
19:36:29	29421/29421	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2012:47:25%20GMT	http://www.w3schools.com/bootstrap/bootstrap_exam.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_exam.html	(from http://www.w3schools.com/bootstrap/)
19:36:30	38129/38129	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2012:58:43%20GMT	http://www.w3schools.com/bootstrap/bootstrap_ref_css_text.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_ref_css_text.html	(from http://www.w3schools.com/bootstrap/)
19:36:30	32572/32572	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2013:20:11%20GMT	http://www.w3schools.com/bootstrap/bootstrap_ref_css_buttons.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_ref_css_buttons.html	(from http://www.w3schools.com/bootstrap/)
19:36:31	30798/30798	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2013:53:42%20GMT	http://www.w3schools.com/bootstrap/bootstrap_ref_css_forms.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_ref_css_forms.html	(from http://www.w3schools.com/bootstrap/)
19:36:31	39816/39816	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2013:42:58%20GMT	http://www.w3schools.com/bootstrap/bootstrap_ref_css_helpers.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_ref_css_helpers.html	(from http://www.w3schools.com/bootstrap/)
19:36:32	30701/30701	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2013:16:59%20GMT	http://www.w3schools.com/bootstrap/bootstrap_ref_css_images.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_ref_css_images.html	(from http://www.w3schools.com/bootstrap/)
19:36:33	31884/31884	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2013:23:47%20GMT	http://www.w3schools.com/bootstrap/bootstrap_ref_css_tables.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_ref_css_tables.html	(from http://www.w3schools.com/bootstrap/)
19:36:34	29910/29910	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2014:06:11%20GMT	http://www.w3schools.com/bootstrap/bootstrap_ref_comp_dropdowns.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_ref_comp_dropdowns.html	(from http://www.w3schools.com/bootstrap/)
19:36:34	35554/35554	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2013:23:40%20GMT	http://www.w3schools.com/bootstrap/bootstrap_ref_comp_navs.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_ref_comp_navs.html	(from http://www.w3schools.com/bootstrap/)
19:36:35	95024/95024	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2013:42:18%20GMT	http://www.w3schools.com/bootstrap/bootstrap_ref_comp_glyphs.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_ref_comp_glyphs.html	(from http://www.w3schools.com/bootstrap/)
19:36:36	38041/38041	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2013:14:09%20GMT	http://www.w3schools.com/bootstrap/bootstrap_ref_js_affix.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_ref_js_affix.html	(from http://www.w3schools.com/bootstrap/)
19:36:37	32207/32207	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2013:15:38%20GMT	http://www.w3schools.com/bootstrap/bootstrap_ref_js_alert.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_ref_js_alert.html	(from http://www.w3schools.com/bootstrap/)
19:36:38	34778/34778	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2014:00:16%20GMT	http://www.w3schools.com/bootstrap/bootstrap_ref_js_button.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_ref_js_button.html	(from http://www.w3schools.com/bootstrap/)
19:36:38	48099/48099	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2013:08:57%20GMT	http://www.w3schools.com/bootstrap/bootstrap_ref_js_carousel.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_ref_js_carousel.html	(from http://www.w3schools.com/bootstrap/)
19:36:39	43323/43323	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2013:56:51%20GMT	http://www.w3schools.com/bootstrap/bootstrap_ref_js_collapse.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_ref_js_collapse.html	(from http://www.w3schools.com/bootstrap/)
